,Unnamed: 0,Cod_Personal,SpanishC,Resources,Spanish Comprehension Effect,Family Resources Effect
121,121,D946BBN,-1.3321363267757615,-0.5987606800877115,-0.8371877443673241,0.2445312222525735
122,122,D949EHK,-1.0366089884707066,-1.442701505977469,-0.6514621089488293,0.218978600946578
123,123,D950WWK,-0.7325055532485779,-2.061805531297213,-0.4603467824835793,0.17230783416651552
124,124,D956EYW,-0.7125444095669964,-0.8414017909112125,-0.4478021017944621,0.18279999585338252
125,125,E233CVG,-0.7897650830950972,-0.7121943617385563,-0.4963318207054296,-0.05398877832744539
126,126,E274DVU,-0.4732288189259331,0.8222070402596381,-0.29740302063912105,0.37280205709499026
127,127,E728QSW,-0.2077664570688233,-0.5556849002750816,-0.13057187020012695,0.11820230562664104
128,128,E955NAH,-1.253836024667227,0.106043628566353,-0.7879795274694463,0.18726782117877153
129,129,C018QDG,-0.5458623291586133,0.4522655320167292,-0.3430499138098486,0.37171528186005737
130,130,C018TDN,0.5505320808256038,0.9713352257356128,0.34598464262570905,0.4216725643436967
131,131,C020FPB,-0.4316525332667666,0.987809300188202,-0.2712741957504442,0.39477762584895
132,132,C023AWF,0.2953821534709555,0.8290694856168368,0.18563439328258657,0.3842094274425321
133,133,C025RKJ,-0.6981447419264488,-0.3233650352861928,-0.4387525585688022,0.3389325090363385
134,134,C030IZW,-0.5922973787800302,2.5022058731982755,-0.37223225323769804,0.5392332050033858
135,135,C079IRK,-0.6654074884372397,1.9058390932661549,-0.41817866770303214,0.1802337513544104
136,136,C080XMY,-0.8322131715837005,0.2949369153861267,-0.5230085344472508,0.3346192601522745
137,137,C120VMK,0.4137050238113435,2.185886956367133,0.2599949935727184,0.49558999035208356
138,138,C122WIB,-1.0499948050902397,0.8993892075122674,-0.659874492424134,0.4001626024070781
139,139,C270IPP,-0.7459531048004067,0.8251448890380182,-0.46879796358618264,0.3988153889789923
140,140,C274JLU,0.3384302861775166,0.4986926464163369,0.21268820781751413,0.09501142905170137
141,141,C287UQN,0.4426148773004816,1.2584246723571306,0.2781635357452309,0.43512134159386795
142,142,C318IYU,-0.0306371262746214,1.3047235067102243,-0.019254055402743078,0.4070944004408095
143,143,C318JYZ,-0.5439342876021768,-0.1830203317748051,-0.34183822644029355,0.32080235704784854
144,144,C318LYZ,-0.4524280434296128,-0.3004218855433488,-0.2843306691321219,0.30744662789244176
145,145,C318MYZ,0.2660810121652435,0.6758520675196479,0.16721994432262927,0.39007517848428874
146,146,C320BLM,0.2058381174360317,-0.8442962651997592,0.1293599955029942,0.2484467338179459
147,147,C320YXU,-0.3760270506097747,0.8045645591393042,-0.2363160826662796,0.3964806868189175
148,148,C321NRU,-1.4490289594686745,0.8259399721602654,-0.9106495046469166,0.3960836201967419
149,149,C323ZSK,0.259506727473093,0.2668386492834094,0.16308830219139825,0.33597626583433415
150,150,C331AJE,0.7926989212456539,0.1466778865212087,0.49817560598043076,0.3380130862423421
151,151,C420XEI,-0.3329547245952557,0.820592244134366,-0.20924706372583368,0.27863281637308457
152,152,C424JAS,0.1421934195434576,0.6774868299969412,0.08936216645303022,0.4012733201462737
153,153,C474NFG,-0.2901634745750998,0.9655621337278748,-0.18235468840135016,0.40683366292500867
154,154,C477UYP,0.467952219847177,1.0673955668948392,0.29408691552894334,0.3991350030909445
155,155,C519JLZ,-0.7187374118331108,1.328114390475953,-0.4516941250760274,0.41814243086455904
156,156,C520YBG,-0.6055068828304054,1.0680938870544812,-0.3805338321961451,0.41637531863479893
157,157,C525WHW,0.0043375272026859,1.947704061895242,0.0027259406878705882,0.4752403073184202
158,158,C566EMU,-0.2943647464003559,0.8811525712926932,-0.18499499871506497,0.40053236418658544
159,159,C588YAE,-0.4591233937607614,-0.2779919268858226,-0.28853839557033867,0.30952902223061673
160,160,C617TAE,-0.3981366640740284,1.2425436560338932,-0.2502109799473803,0.4351669019127914
161,161,C718EVE,-0.27044628874236,0.5845985510960025,-0.1699633242437977,0.407690277485923
162,162,C718NXI,-0.3751749870217377,2.145817253680649,-0.23578059903822424,0.5172878987835855
163,163,C718TVT,-1.024131345095903,-0.1992907023745172,-0.6436204714962608,0.3052069086926894
164,164,C718VVH,-0.5189052138923842,-0.1709435873141016,-0.32610857975058816,0.057459477913439895
165,165,C733HMU,0.407027004727209,0.8210437538155057,0.2557981590434626,0.3768907644999733
166,166,C795MCY,-0.5675548462389922,1.957608147202451,-0.3566826847801646,0.48499251055961856
167,167,C820LPY,-0.4726251057358482,0.7649381980853475,-0.29702361406211164,0.1148948046179627
168,168,C820ZKI,-1.273907688820238,0.8937592071294257,-0.8005936653021926,0.3922240630419945
169,169,C821ICB,0.2480265645592604,0.4730274408069689,0.15587353632876086,0.35524630684748193
170,170,C823DTB,1.1433839289501917,0.9410779859424888,0.7185653548991385,0.41722315716362807
171,171,C851FWG,0.144339094318041,-0.0876618430906475,0.0907106265081862,0.33433265384668115
172,172,C922VTI,-1.333518978749329,2.441553892656604,-0.8380566789228419,0.5281558910460196
173,173,C946UBQ,-0.4096044257440316,1.95882621245186,-0.2574179521862419,0.49466138889954714
174,174,C953TCH,0.5945639426454649,0.1968365973567956,0.37365668664727286,0.32759788650131105
175,175,C955FNT,-0.5438665864355654,-0.2213359211088294,-0.3417956793031672,0.3380186197959466
176,176,D044QLP,-0.7782037426641524,1.000919091952312,-0.4890660384257194,0.41537285092889037
177,177,D075KPP,0.4356095874483195,0.841849924709556,0.2737610262632129,0.37567274169075193
178,178,D093NJG,-0.5885798285068731,0.5161586860062506,-0.36989594015532046,0.37518246000509864
179,179,D138CYD,0.1549293370136367,-0.1044135537777047,0.09736611755397669,0.2974479123855437
180,180,D188BDL,-0.7952722903362816,0.4992032304207558,-0.4997928526699055,0.3514585141822163
181,181,D358FDU,-0.5305048199031749,1.494090940962629,-0.3333984102255424,0.3154633644393063
182,182,D426WYQ,-0.4529358274731476,-0.2583882553903108,-0.2846497885566792,0.30871409293063556
